formattedAddress,city,zipCode,price,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,latitude,longitude,listedDate
"7205 Royal George Ct, Zephyrhills, FL 33545",Zephyrhills,33545,2125,Single Family,4,2.0,1544,2005.0,28.262124,-82.305024,2026-08-03
"37819 Alissa Dr, Zephyrhills, FL 33542",Zephyrhills,33542,1450,Condo,2,2.0,864,,28.223474,-82.191176,2026-08-03
"5912 Bramble Bush Ct, Zephyrhills, FL 33541",Zephyrhills,33541,2495,Single Family,4,3.0,2243,2006.0,28.243273,-82.23629,2026-08-03
"22477 Bellini Cir, Land O Lakes, FL 34639",Land O Lakes,34639,2850,Single Family,4,3.0,2245,2023.0,28.215544,-82.44547,2026-08-04
"15833 Pond Rush Ct, Land O Lakes, FL 34638",Land O Lakes,34638,2195,Single Family,3,2.0,2415,,28.311841,-82.553209,2026-08-04
"18934 Randall Pl, Land O Lakes, FL 34638",Land O Lakes,34638,2105,Single Family,3,2.5,1545,2009.0,28.296631,-82.502448,2026-08-04
"19608 Timberbluff Dr, Land O Lakes, FL 34638",Land O Lakes,34638,2895,Single Family,5,3.0,2657,,28.290322,-82.499082,2026-08-04
"20331 Calla Lily Dr, Land O Lakes, FL 34638",Land O Lakes,34638,2625,Single Family,4,2.5,1977,2022.0,28.214129,-82.480706,2026-08-04
"3457 Bellericay Ln, Land O Lakes, FL 34638",Land O Lakes,34638,2130,Single Family,3,2.0,1158,2009.0,28.208457,-82.533862,2026-08-04
"18525 Dajana Ave, Land O Lakes, FL 34638",Land O Lakes,34638,2125,Single Family,3,2.0,1489,,28.299055,-82.50938,2026-08-04
"25924 Terrawood Loop, Land O Lakes, FL 34639",Land O Lakes,34639,2100,Single Family,3,2.0,1340,,28.2221,-82.387022,2026-08-04
"4315 Marchmont Blvd, Land O Lakes, FL 34638",Land O Lakes,34638,2330,Single Family,3,2.0,1837,,28.22046,-82.496215,2026-08-04
"3252 Bridge Haven Dr, Wesley Chapel, FL 33543",Wesley Chapel,33543,2750,Single Family,4,2.5,2297,2022.0,28.204346,-82.254387,2026-08-04
"1641 Firewheel Dr, Wesley Chapel, FL 33543",Wesley Chapel,33543,2450,Single Family,3,2.0,1640,,28.180999,-82.331214,2026-08-04
"8471 Lofty Timber Way, Wesley Chapel, FL 33545",Wesley Chapel,33545,1999,Single Family,3,2.5,1464,,28.280634,-82.300785,2026-08-04
"6452 Tabogi Trl, Wesley Chapel, FL 33545",Wesley Chapel,33545,1935,Single Family,3,2.0,1292,2005.0,28.250478,-82.315811,2026-08-04
"4908 Cactus Needle Ln, Wesley Chapel, FL 33544",Wesley Chapel,33544,1895,Townhouse,3,2.5,1543,,28.228451,-82.361547,2026-08-04
"5152 Blue Roan Way, Wesley Chapel, FL 33544",Wesley Chapel,33544,1995,Single Family,3,2.5,1686,,28.232213,-82.359844,2026-08-04
"27521 St Andrews Ave, Wesley Chapel, FL 33544",Wesley Chapel,33544,2865,Single Family,4,3.0,2222,2023.0,28.246939,-82.361381,2026-08-04
"3989 Windcrest Dr, Wesley Chapel, FL 33544",Wesley Chapel,33544,3100,Single Family,4,3.0,2629,2013.0,28.214211,-82.35646,2026-08-04
"8492 Houndstooth Enclave Dr, New Port Richey, FL 34655",New Port Richey,34655,1970,Single Family,3,2.5,1634,,28.201195,-82.674465,2026-08-04
"3814 Linkwood St, New Port Richey, FL 34652",New Port Richey,34652,1625,Single Family,3,1.0,1104,,28.214597,-82.732028,2026-08-04
"9351 Beaufort Ct, New Port Richey, FL 34654",New Port Richey,34654,2135,Single Family,3,2.0,1819,,28.293661,-82.619407,2026-08-04
"3153 Lodi Dr, New Port Richey, FL 34655",New Port Richey,34655,1800,Single Family,3,2.0,1283,,28.205517,-82.695377,2026-08-04
"8335 Birch Haven Ln, New Port Richey, FL 34655",New Port Richey,34655,2100,Single Family,3,2.5,1634,,28.204404,-82.676928,2026-08-04
"7505 Wimpole Dr, New Port Richey, FL 34655",New Port Richey,34655,1995,Single Family,2,2.0,1268,2001.0,28.195994,-82.690638,2026-08-04
"9101 Easthaven Ct, New Port Richey, FL 34655",New Port Richey,34655,2195,Single Family,3,2.0,1837,,28.238569,-82.664349,2026-08-04
"7140 Bellaire Ter, New Port Richey, FL 34653",New Port Richey,34653,1350,Single Family,2,1.0,776,1978.0,28.261281,-82.704891,2026-08-04
"7839 Putnam Cir, New Port Richey, FL 34655",New Port Richey,34655,2030,Single Family,3,2.0,1475,,28.207018,-82.684649,2026-08-04
"2844 Coach Manors Way, New Port Richey, FL 34655",New Port Richey,34655,2625,Single Family,3,2.5,2466,,28.200218,-82.672511,2026-08-04
"34442 Smart Dr, Zephyrhills, FL 33541",Zephyrhills,33541,1940,Single Family,3,2.0,1224,,28.234806,-82.245003,2026-08-04
"4922 17th St, Zephyrhills, FL 33542",Zephyrhills,33542,1900,Apartment,2,1.0,900,,28.229219,-82.174409,2026-08-04
"7205 Royal George Ct, Zephyrhills, FL 33545",Zephyrhills,33545,2070,Single Family,4,2.0,1544,2005.0,28.262124,-82.305024,2026-08-04
"7413 Pulteney Dr, Zephyrhills, FL 33545",Zephyrhills,33545,2390,Single Family,3,2.0,2042,,28.265068,-82.301231,2026-08-04
"38621 Rose Ln, Zephyrhills, FL 33542",Zephyrhills,33542,1495,Single Family,2,1.0,1040,,28.244865,-82.177078,2026-08-04
"38627 Rose Ln, Zephyrhills, FL 33542",Zephyrhills,33542,1595,Single Family,2,1.0,0,,28.244817,-82.177306,2026-08-04
"36232 Misty Oak Unit Bldg 7 Dr, Unit 204, Zephyrhills, FL 33541",Zephyrhills,33541,1600,Condo,3,2.0,1325,,28.242856,-82.217158,2026-08-04
